Policy Number,Transaction ID,Effective Date,Product,Program,Account Number,Insured Name,Premium,Actions,policystatus,issueddate,shreddertransinbounddate,shredderstginbounddate,policyodsstgfirstdate,policyodscvt,policyodstranfirstdate
PK202400016984,"3,98,352",07-07-2024,Package,Propane & Fuel Dealers,10252227,hfx_155540L,"37,848",,InProcess,6-2-25 1:04 AM,6-2-25 6:20 AM,6-2-25 6:20 AM,6-2-25 10:32 AM,6-2-25 11:25 AM,
PK202500017009,"3,98,529",01-07-2025,Package,Propane & Fuel Dealers,10252463,PKG GL Test,"1,542",,InProcess,6-2-25 11:13 PM,6-3-25 4:30 AM,6-3-25 4:30 AM,6-3-25 4:53 AM,6-3-25 5:12 AM,
PK202500017019,"3,98,583",01-07-2025,Package,Franchise Equipment Dealer,10250170,Test-HFX3-23-Franchise-PKG-NJ,"3,382",,InProcess,6-3-25 11:46 AM,6-3-25 5:05 PM,6-3-25 5:05 PM,6-3-25 5:22 PM,6-3-25 5:46 PM,
PK202400017023,"3,98,630",01-10-2024,Package,Franchise Equipment Dealer,10252581,Acc_Samanage_156807,"26,827",,InProcess,6-4-25 3:07 AM,6-4-25 8:25 AM,6-4-25 8:25 AM,6-4-25 8:38 AM,6-4-25 9:30 AM,
PK202300017030,"3,98,690",01-10-2023,Package,Franchise Equipment Dealer,10252581,Acc_Samanage_156807,"23,227",,InProcess,6-5-25 5:52 AM,6-5-25 11:10 AM,6-5-25 11:10 AM,6-5-25 11:31 AM,6-5-25 11:51 AM,
PK202400017030,"3,98,691",01-10-2024,Package,Franchise Equipment Dealer,10252581,Acc_Samanage_156807,"24,662",,InProcess,6-5-25 5:56 AM,6-5-25 11:15 AM,6-5-25 11:15 AM,6-5-25 11:31 AM,6-5-25 11:51 AM,
PK202400017041,"3,98,746",18-06-2024,Package,Media - Special Events & Leisure,10252682,hfx_157496L,"1,535",,Posted,6-9-25 1:55 AM,6-9-25 7:10 AM,6-9-25 7:10 AM,6-9-25 7:29 AM,,6-9-25 8:19 AM
PK202500017042,"3,98,747",10-06-2025,Package,Media - DICE,10252685,Roslan DICE NY Copy Quote,"2,033",,Posted,6-9-25 8:40 AM,6-9-25 1:55 PM,6-9-25 1:55 PM,6-9-25 2:12 PM,,6-9-25 3:00 PM
PK202400017043,"3,98,749",14-09-2024,Package,Media - DICE,10252688,Roslan DICE NY Backdate June Release 6.9.25,"3,495",,Posted,6-9-25 10:13 AM,6-9-25 3:30 PM,6-9-25 3:30 PM,6-9-25 3:44 PM,,6-9-25 4:46 PM
PK202400017044,"3,98,751",14-09-2024,Package,Media - DICE,10252690,Roslan DICE NJ Backdate July Release 6.9.25,"5,974",,Posted,6-9-25 10:27 AM,6-9-25 3:45 PM,6-9-25 3:45 PM,6-9-25 4:16 PM,,6-9-25 5:14 PM
